ARCHIVO,TIPO,DIMENSIONES,ESCALA,UNIDAD,EJE_VERTICAL,REFERENCIA,TRIANGULOS,MIN_X,MAX_X,MIN_Y,MAX_Y,MIN_Z,MAX_Z
bocamina.csv,acceso_superficie,90 m; 5.0 x 5.0 m; -13.0%; cuneta 0.40 x 0.35 m,1:1,m,Z,.claude/commands/mina-3d-trackless.md,6710,5999.909,6090.001,4497.324,4504.724,-34.020,-16.997
galeria.csv,desarrollo_sobre_rumbo,220 m; 4.5 x 4.5 m; -0.4%; cuneta 0.40 x 0.35 m,1:1,m,Z,.claude/commands/mina-3d-trackless.md,16328,5999.913,6220.175,4497.028,4505.561,-221.199,-215.429
galeria_wireframe_simulada.csv,desarrollo_alta_densidad,120 m; 4.5 x 4.5 m; -0.4%; detalle longitudinal 1.2 m,1:1,m,Z,.claude/commands/mina-3d-trackless.md,14482,5999.788,6120.342,4497.384,4506.795,-220.836,-215.451
crucero.csv,desarrollo_transversal,70 m; 4.5 x 4.5 m; -0.3%; boca reforzada,1:1,m,Z,.claude/commands/mina-3d-trackless.md,5234,5997.289,6002.526,4499.981,4570.006,-220.546,-215.449
rampa.csv,rampa_principal_helicoidal,240 m; 5.0 x 5.0 m; -13.0%; radio 22 m,1:1,m,Z,.claude/commands/mina-3d-trackless.md,20338,5975.379,6024.677,4497.365,4546.613,-251.545,-214.898
subnivel.csv,perforacion_longhole,80 m; 4.0 x 4.0 m; -0.3%; intervalo vertical 15-30 m,1:1,m,Z,.claude/commands/mina-3d-trackless.md,5794,5999.962,6080.007,4497.850,4502.931,-220.617,-215.851
nivel_principal.csv,transporte_principal,260 m; 6.5 x 5.5 m; -0.4%; galibo peatonal 0.90 m,1:1,m,Z,.claude/commands/mina-3d-trackless.md,19444,5999.903,6260.097,4496.678,4506.018,-221.399,-214.477
frente_desarrollo.csv,frente_ciego,36 m; 4.5 x 4.5 m; -0.4%; avance 3-4 m/disparo,1:1,m,Z,.claude/commands/mina-3d-trackless.md,3314,5999.986,6036.024,4497.457,4502.657,-220.489,-215.484
camara_carguio.csv,estacion_carguio,26 m; hasta 7.0 x 5.5 m; ensanche de maniobra,1:1,m,Z,.claude/commands/mina-3d-trackless.md,1210,6000.000,6026.000,4496.360,4503.598,-220.428,-214.493
taller_subterraneo.csv,infraestructura,38 m; hasta 11.0 x 7.5 m; cámara trackless,1:1,m,Z,.claude/commands/mina-3d-trackless.md,2332,6000.000,6038.000,4494.352,4505.632,-220.482,-212.517
estacion_bombeo.csv,infraestructura_drenaje,24 m; hasta 8.0 x 6.5 m; punto bajo de bombeo,1:1,m,Z,.claude/commands/mina-3d-trackless.md,1096,6000.000,6024.000,4495.829,4504.173,-220.437,-213.540
polvorin.csv,infraestructura_restringida,30 m; hasta 7.0 x 5.5 m; ventilado y aislado,1:1,m,Z,.claude/commands/mina-3d-trackless.md,1444,6000.000,6030.000,4496.336,4503.585,-220.436,-214.558
refugio_mineros.csv,refugio_minero_sellado,20 m; hasta 8.0 x 6.0 m; cámara de emergencia,1:1,m,Z,.claude/commands/mina-3d-trackless.md,974,6000.000,6020.000,4495.878,4504.173,-220.366,-213.955
socavon.csv,acceso_horizontal_superficie,120 m; 5.0 x 4.5 m; -0.4%,1:1,m,Z,.claude/commands/mina-3d-trackless.md,9028,5999.940,6120.064,4497.401,4503.768,-18.890,-13.493
cortada.csv,desarrollo_en_esteril,85 m; 4.5 x 4.5 m; -0.4%,1:1,m,Z,.claude/commands/mina-3d-trackless.md,6548,5997.563,6002.465,4500.000,4585.000,-220.676,-215.450
ventana.csv,conexion_corta,16 m; 4.0 x 4.0 m; bypass-galería,1:1,m,Z,.claude/commands/mina-3d-trackless.md,858,5997.860,6002.148,4500.000,4516.000,-220.381,-215.917
estocada_carguio.csv,labor_corta_ciega,12 m; 4.0 x 4.0 m; carguío/volteo,1:1,m,Z,.claude/commands/mina-3d-trackless.md,520,5997.776,6002.094,4500.000,4512.000,-220.425,-215.871
