ID,ARCHIVO,ETIQUETA,TIPO,NIVEL,POS_X,POS_Y,COTA_Z,ROTACION_GRADOS,TRIANGULOS,MIN_X,MAX_X,MIN_Y,MAX_Y,MIN_Z,MAX_Z
acceso_bocamina,bocamina.csv,Bocamina principal,Acceso,Superficie → Nivel 160,-140,0,20,0,6683,-140.091,-49.999,-2.676,4.724,7.980,25.003
nivel_160_principal,nivel_principal.csv,Nivel principal 160,Transporte,Nivel 160,-50,2,8,0,19390,-50.097,210.097,-1.322,8.018,6.601,13.523
interseccion_central,interseccion_4_vias.csv,Intersección central,Intersección,Nivel 160,20,2,8,0,6002,-8.006,48.000,-26.006,30.004,7.458,13.427
crucero_este,crucero.csv,Crucero de mineral,Crucero,Nivel 160,20,2,8,0,5180,17.289,22.526,1.981,72.006,7.454,12.551
galeria_estructura,galeria.csv,Galería sobre rumbo,Desarrollo,Nivel 160,20,72,8,0,16301,19.913,240.175,69.028,77.561,6.801,12.571
acceso_socavon,socavon.csv,Socavón secundario,Acceso,Superficie → Nivel 160,-100,72,8,0,9001,-100.060,20.064,69.401,75.768,7.110,12.507
cortada_norte,cortada.csv,Cortada norte,Crucero,Nivel 160,115,2,8,0,6494,112.563,117.465,2.000,87.000,7.324,12.550
bypass_ventilacion,by_pass.csv,By-pass doble de ventilación,Ventilación,Nivel 160,40,-23,8,0,20054,39.959,160.066,-33.066,-11.586,7.133,12.593
ventana_bypass,ventana.csv,Ventana al by-pass,Conexión,Nivel 160,80,-15.5,8,0,804,77.860,82.148,-15.500,0.500,7.619,12.083
galeria_hd_sur,galeria_wireframe_simulada.csv,Galería irregular sur,Desarrollo,Nivel 160,40,-30.5,8,-90,14455,37.384,46.795,-150.842,-30.288,7.164,12.549
frente_avance,frente_desarrollo.csv,Frente de desarrollo,Producción,Nivel 160,210,2,8,0,3287,209.986,246.024,-0.543,4.657,7.511,12.516
rampa_principal,rampa.csv,Rampa principal −13%,Rampa,Nivel 160 → Nivel 128,210,2,8,-90,20284,207.365,256.613,-22.677,26.621,-23.545,13.102
subnivel_perforacion,subnivel.csv,Subnivel de perforación,Producción,Nivel 128,234,24,-23.2,0,5740,233.962,314.007,21.850,26.931,-23.817,-19.051
tajo_longhole,tajo_subniveles.csv,Tajo Sublevel Longhole,Tajo,Nivel 128,285,24,-23.2,0,11648,285.000,321.000,8.000,34.171,-23.741,10.890
tajo_corte_relleno,tajo_corte_relleno.csv,Tajo corte y relleno,Tajo,Nivel 128,234,72,-23.2,0,1458,234.000,264.000,67.758,76.188,-23.268,-2.926
tolva_drawpoint,tolva_drawpoint.csv,Tolva y drawpoint,Extracción,Nivel 128,275,-20,-23.2,0,2417,274.990,299.003,-22.469,-17.514,-23.673,-5.179
